0.42	-0.087	0.58	1
-0.2	-3.3	-3.4	1
1.30	-0.32	1.70	1
0.39	0.71	0.23	1
-1.60	-5.3	-0.15	1
-0.029	0.89	-4.7	1
-0.23	1.90	2.20	1
0.27	-0.3	-0.87	1
-1.9	0.76	-2.1	1
0.87	-1.0	-2.6	1
-0.4	0.58	0.089	2
-0.31	0.27	-0.04	2
0.38	0.055	-0.035	2
-0.15	0.53	0.011	2
-0.35	0.47	0.034	2
0.17	0.69	0.10	2
-0.011	0.55	-0.18	2
-0.27	0.61	0.12	2
-0.065	0.49	0.0012	2
-0.12	0.054	-0.063	2
0.83	1.60	-0.014	3
1.10	1.60	0.48	3
-0.44	-0.41	0.32	3
0.047	-0.45	1.40	3
0.28	0.35	3.10	3
-0.39	-0.48	0.11	3
0.34	-0.079	0.14	3
-0.3	-0.22	2.20	3
1.10	1.20	-0.46	3
0.18	-0.11	-0.49	3	
